id_orgao,id_servico,nome_orgao
36724,2797,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
34312,2376,Fundação Oswaldo Cruz (FIOCRUZ)
34312,2381,Fundação Oswaldo Cruz (FIOCRUZ)
34312,2377,Fundação Oswaldo Cruz (FIOCRUZ)
36722,2469,Instituto Brasileiro de Museus (IBRAM)
36793,2505,"Instituto Nacional de Metrologia, Qualidade e Tecnologia (INMETRO)"
34312,2382,Fundação Oswaldo Cruz (FIOCRUZ)
34313,2403,Fundação Osório (FOSORIO)
36722,2470,Instituto Brasileiro de Museus (IBRAM)
36783,2507,Instituto Nacional da Propriedade Industrial (INPI)
36724,2800,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
34312,2379,Fundação Oswaldo Cruz (FIOCRUZ)
34307,2438,Fundação Joaquim Nabuco (FUNDAJ)
34307,2439,Fundação Joaquim Nabuco (FUNDAJ)
36802,52,Instituto Nacional do Seguro Social (INSS)
34312,2383,Fundação Oswaldo Cruz (FIOCRUZ)
890,2182,Agência Espacial Brasileira (AEB)
34307,2440,Fundação Joaquim Nabuco (FUNDAJ)
36722,2474,Instituto Brasileiro de Museus (IBRAM)
36722,2475,Instituto Brasileiro de Museus (IBRAM)
55796,2582,Superintendência de Desenvolvimento do Centro-Oeste (SUDECO)
34312,2384,Fundação Oswaldo Cruz (FIOCRUZ)
34302,2443,Fundação Cultural Palmares (FCP)
36724,2444,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
36726,2476,Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio)
6041,2481,Casa Civil da Presidência da República (CC-PR)
6041,2482,Casa Civil da Presidência da República (CC-PR)
36724,2802,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
58051,3268,Agência Nacional de Mineração (ANM)
34312,2385,Fundação Oswaldo Cruz (FIOCRUZ)
36724,2445,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
36802,2546,Instituto Nacional do Seguro Social (INSS)
36802,2521,Instituto Nacional do Seguro Social (INSS)
36802,2533,Instituto Nacional do Seguro Social (INSS)
37547,83,Ministério do Turismo (MTur)
36724,2446,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
908,2189,Agência Nacional de Aviação Civil (ANAC)
909,2208,Agência Nacional de Energia Elétrica (ANEEL)
917,2210,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
34312,2386,Fundação Oswaldo Cruz (FIOCRUZ)
908,2194,Agência Nacional de Aviação Civil (ANAC)
36724,2447,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
917,2211,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
916,2198,Agência Nacional do Cinema (ANCINE)
36724,2448,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
909,2206,Agência Nacional de Energia Elétrica (ANEEL)
909,2209,Agência Nacional de Energia Elétrica (ANEEL)
916,2204,Agência Nacional do Cinema (ANCINE)
36724,2803,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
916,2197,Agência Nacional do Cinema (ANCINE)
916,2199,Agência Nacional do Cinema (ANCINE)
916,2200,Agência Nacional do Cinema (ANCINE)
917,2219,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
34312,2387,Fundação Oswaldo Cruz (FIOCRUZ)
917,2222,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
917,2225,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
34313,2389,Fundação Osório (FOSORIO)
910,2234,Agência Nacional de Saúde Suplementar (ANS)
36724,2449,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
910,2235,Agência Nacional de Saúde Suplementar (ANS)
910,2238,Agência Nacional de Saúde Suplementar (ANS)
36724,2451,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
36790,2483,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP)
917,2223,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
917,2224,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
58051,3368,Agência Nacional de Mineração (ANM)
36724,2452,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
910,2232,Agência Nacional de Saúde Suplementar (ANS)
910,2239,Agência Nacional de Saúde Suplementar (ANS)
36724,2453,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
917,2230,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
917,2229,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
34313,2390,Fundação Osório (FOSORIO)
34309,2414,Fundação Nacional de Artes (FUNARTE)
36724,2454,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
36724,2456,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
36724,2458,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
34306,2560,Fundação Instituto de Pesquisa Econômica Aplicada (IPEA)
910,2236,Agência Nacional de Saúde Suplementar (ANS)
910,2237,Agência Nacional de Saúde Suplementar (ANS)
34313,2391,Fundação Osório (FOSORIO)
912,2241,Agência Nacional de Transportes Aquaviários (ANTAQ)
34313,2392,Fundação Osório (FOSORIO)
34313,2399,Fundação Osório (FOSORIO)
34313,2400,Fundação Osório (FOSORIO)
34313,2401,Fundação Osório (FOSORIO)
34313,2402,Fundação Osório (FOSORIO)
